Plant Number,Height,Width,Length,Flowering?
1,9,20,19,
2,8,9,8,
3,7,11,9,
4,26,54,51,y
5,10,18,11,
6,12,24,20,
7,8,18,15,
8,8,10,8,
9,10,20,17,
10,13,43,41,y
11,8,10,6,
12,12,31,30,
13,9,24,24,
14,13,48,43,
15,12,30,29,
16,16,28,25,
17,6,26,23,
18,9,24,23,
19,8,16,16,
20,16,37,33,
21,16,26,26,
22,8,14,12,
23,14,40,39,
24,10,22,21,
25,8,17,14,
26,8,23,22,
27,9,18,14,
28,7,13,10,
29,9,19,15,
30,7,6,6,
31,18,35,33,
32,8,7,6,
33,13,19,19,
34,6,5,3,
35,10,24,19,
36,6,13,10,
37,24,61,48,
38,6,9,8,
39,10,21,19,
40,28,74,60,y
41,10,31,27,y
42,11,33,33,y
43,8,18,15,
44,12,36,27,
45,11,25,25,
46,8,26,23,
47,12,26,25,
48,11,13,11,
49,12,37,29,
50,8,12,8,
51,8,24,22,
52,18,47,39,y
53,9,22,18,
54,12,27,19,
55,8,8,5,
56,7,19,15,
57,12,27,17,
58,11,17,17,
59,8,18,14,
60,11,22,15,
61,11,37,33,y
62,19,28,27,
63,28,45,25,
64,7,12,10,
65,9,13,7,
66,11,23,21,
67,7,19,18,
68,19,46,49,y
69,14,46,31,y
70,23,43,42,
71,11,25,23,
72,20,33,29,
73,16,21,21,
74,11,18,16,
75,7,23,20,
76,7,21,19,
77,9,18,17,
78,5,18,18,
79,19,52,40,y
80,10,25,16,
81,,,,
82,,,,
83,6,10,9,
84,,,,
85,,,,
86,10,26,23,
87,18,60,49,y
88,12,229,26,
89,6,22,21,
90,7,19,16,
91,8,17,12,
92,27,53,51,y
93,,,,
94,6,6,5,
95,9,12,7,
96,11,16,11,
97,15,28,28,
98,14,22,21,y
99,13,26,21,
100,11,30,26,
101,,,,
102,14,33,27,
103,6,17,15,
104,8,27,16,
105,,,,
106,17,55,49,y
107,,,,
108,14,25,21,
109,10,11,10,
110,6,15,15,
111,8,15,13,
112,14,21,18,
113,14,18,17,
114,8,14,9,
115,10,15,13,
116,7,17,15,
117,10,17,11,
118,7,10,9,
119,10,13,12,
120,5,9,9,
121,7,9,9,
122,8,10,9,
123,17,50,43,
124,12,19,16,
125,,,,
126,10,21,17,
127,19,53,45,
128,9,11,10,
129,10,11,9,
130,7,9,7,
131,9,11,10,
132,5,9,7,
133,12,29,21,
134,5,17,15,
135,,,,
136,11,19,15,
137,,,,
138,,,,
139,20,56,52,y
140,26,50,48,
141,,,,
142,9,13,10,
143,,,,
144,12,22,18,
145,7,10,9,
146,14,38,36,y
147,9,16,14,
148,8,18,18,
149,6,4,4,
150,13,25,24,
151,5,12,9,
152,19,47,32,
153,33,57,53,y
154,13,21,16,
155,16,35,33,
156,27,67,62,
157,15,42,33,y
158,,,,
159,13,27,26,
160,11,22,19,
161,11,28,28,
162,12,15,15,
163,21,55,49,y
164,20,43,35,
165,8,13,10,
166,10,12,10,
167,6,11,9,
168,9,14,12,
169,10,8,6,
170,7,22,18,
171,8,27,23,
172,13,31,29,
173,18,20,18,
174,17,42,33,y
175,13,15,14,
176,7,10,9,
177,14,14,12,
178,11,24,23,y
179,,,,
180,4,2,2,
181,19,24,23,
182,10,18,17,
183,25,63,56,y
184,6,18,14,
185,26,65,55,y
186,23,72,62,y
187,6,6,6,
188,,,,
189,12,39,30,
190,,,,
191,10,26,24,
192,15,32,28,y
193,,,,
194,11,22,22,
195,10,13,13,
196,10,11,10,
197,20,37,35,
198,5,7,6,
199,10,13,11,
200,10,14,14,
201,29,71,59,y
202,12,11,13,
203,8,17,17,
204,12,25,19,
205,12,29,23,
206,11,27,20,
207,10,12,11,
208,7,6,5,
209,7,14,11,
210,,,,
211,7,8,8,
212,11,10,9,
213,16,44,36,y
214,,,,
215,6,6,5,
216,24,59,48,y
217,5,13,11,
218,9,17,12,
219,21,57,51,y
220,10,16,11,
221,5,5,5,
222,10,15,12,
223,,,,
224,10,18,15,
225,,,,
226,10,11,11,
227,7,20,17,
228,,,,
229,,,,
230,4,7,7,
231,10,26,24,
232,9,14,9,
233,,,,
234,,,,
235,7,25,18,
236,,,,
237,,,,
238,7,7,6,
239,17,60,48,y
240,11,21,19,
241,5,5,3,
242,,,,
243,,,,
244,7,14,13,
245,,,,
246,8,11,10,
247,8,19,18,
248,16,30,25,
249,8,11,11,
250,,,,
251,11,19,15,
252,6,9,8,
253,11,19,18,
254,8,12,10,
255,11,11,8,
256,9,11,7,
257,9,12,11,
258,8,22,15,
259,8,14,14,
260,27,52,40,y
261,,,,
262,7,15,12,
263,8,5,5,
264,6,8,5,
265,2,6,2,
266,6,11,7,
267,,,,
268,,,,
269,12,15,11,
270,18,46,43,y
271,13,19,16,
272,6,14,13,
273,9,14,14,
274,7,10,9,
275,13,29,26,
276,20,59,49,
277,6,5,3,
278,9,11,10,
279,,,,
280,,,,
281,9,7,7,
282,8,16,14,
283,,,,
284,8,8,8,
285,,,,
286,,,,
287,16,27,23,
288,11,16,14,
289,,,,
290,,,,
291,7,13,11,
292,,,,
293,,,,
294,12,26,24,y
295,7,10,7,
296,6,7,6,
297,7,16,10,
298,8,6,5,
299,,,,
300,,,,
