Sample,d15N (‰ vs. air),wt.% N,d13C (‰ vs. VPDB),wt.% C,Comments
T3-a1,2.18,3.34,-30.53,43.08,"""Extra"" sample - no charge for this analysis"
T3-a2,-2.25,4.27,-29.07,44.59,"""Extra"" sample - no charge for this analysis"
T3-a5,-2.30,3.80,-28.97,39.58,
T3-a6,1.38,3.49,-29.79,42.39,
T3-a7,-1.54,4.25,-29.65,44.05,
T3-a8,0.87,1.80,-30.08,41.55,
T3-a9,1.73,2.34,-30.19,40.64,
T3-a10,-0.10,4.11,-30.50,42.88,
T3-a11,0.00,4.09,-30.55,42.83,
T3-a12,1.24,2.49,-30.47,41.20,
T3-b1,1.20,2.57,-30.75,42.92,
T3-b2,0.98,2.01,-29.54,40.93,
T3-b3,3.54,3.51,-29.80,43.59,
T3-b4,0.97,2.66,-29.88,43.38,
T3-b5,1.33,3.05,-30.25,41.14,
T3-b6,3.39,3.33,-29.90,41.87,
T3-b7,0.81,2.96,-29.56,43.40,
T3-b8,1.08,3.00,-29.56,43.43,
T3-b9,-1.26,3.33,-29.61,44.06,
T3-b10,-0.51,4.67,-29.87,44.89,
T3-b11,2.87,4.52,-27.86,44.37,
T3-b12,3.67,3.79,-30.19,42.94,
T3-c1,1.10,2.93,-29.46,44.03,
T3-c2,4.53,4.58,-29.53,42.36,
T3-c3,2.41,2.52,-30.60,41.20,
T3-c4,1.69,1.83,-30.40,41.69,
T3-c5,-1.03,3.70,-28.59,44.98,
T3-c6,4.58,3.95,-29.89,42.13,
T3-c7,4.59,3.93,-29.85,42.00,
T3-c8,-0.69,5.98,-28.10,47.47,
T3-c9,1.99,2.66,-29.29,43.07,
T3-c10,1.07,2.10,-29.00,41.91,
T3-c11,4.20,4.61,-28.57,45.10,
T3-c12,-1.32,2.63,-28.98,42.66,
T3-d1,0.63,2.16,-30.23,42.39,
T3-d2,0.88,2.09,-30.23,41.92,
T3-d3,1.40,3.15,-30.37,44.84,
T3-d4,1.47,3.63,-30.13,44.08,
T3-d5,1.23,2.50,-31.59,40.91,
T3-d6,1.45,2.50,-31.59,40.77,
T3-d7,0.71,2.71,-30.12,41.77,
T3-d8,2.26,2.42,-30.09,42.06,
T3-d9,0.81,3.76,-30.43,44.33,
T3-d10,0.69,2.40,-30.14,43.19,
T3-d11,1.85,3.13,-30.63,42.85,
T3-d12,2.47,3.38,-30.32,41.81,
T3-e1,1.26,2.50,-29.43,43.23,
T3-e2,2.12,2.48,-30.10,41.45,
T3-e3,1.91,3.41,-29.86,42.53,
T3-e4,1.31,1.74,-29.93,40.78,
T3-e5,-0.58,3.77,-30.80,44.33,
