sampleName,plate,well,ng_per_ul,aliquot,bufferVol,well,finalConc
Inoculum1a,1,a1,11,20.45454545,4.545454545,a1,9
Inoculum1b,1,b1,11.8,19.06779661,5.93220339,b1,9
Inoculum2a,1,c1,11,20.45454545,4.545454545,c1,9
Inoculum2b,1,d1,11.8,19.06779661,5.93220339,d1,9
1,1,e1,103.4,2.176015474,22.82398453,e1,9
2,1,f1,97,2.319587629,22.68041237,f1,9
3,1,g1,92.6,2.429805616,22.57019438,g1,9
4,1,h1,115.3,1.951431049,23.04856895,h1,9
5,1,a2,95.6,2.353556485,22.64644351,a2,9
6,1,b2,81.7,2.753977968,22.24602203,b2,9
7,1,c2,113.8,1.9771529,23.0228471,c2,9
8,1,d2,54.8,4.105839416,20.89416058,d2,9
9,1,e2,87,2.586206897,22.4137931,e2,9
10,1,f2,100.1,2.247752248,22.75224775,f2,9
11,1,g2,50.9,4.42043222,20.57956778,g2,9
13,1,h2,118.3,1.90194421,23.09805579,h2,9
14,1,a3,115.8,1.943005181,23.05699482,a3,9
15,1,b3,83.3,2.701080432,22.29891957,b3,9
16,1,c3,132.3,1.700680272,23.29931973,c3,9
17,1,d3,77.8,2.892030848,22.10796915,d3,9
18,1,e3,63.1,3.565768621,21.43423138,e3,9
19,1,f3,97.2,2.314814815,22.68518519,f3,9
20,1,g3,178.7,1.259093453,23.74090655,g3,9
21,1,h3,69.4,3.242074928,21.75792507,h3,9
22,1,a4,68.9,3.265602322,21.73439768,a4,9
23,1,b4,161.3,1.394916305,23.60508369,b4,9
24,1,c4,80.2,2.805486284,22.19451372,c4,9
25,1,d4,134,1.679104478,23.32089552,d4,9
26,1,e4,67.6,3.328402367,21.67159763,e4,9
27,1,f4,177.6,1.266891892,23.73310811,f4,9
28,1,g4,90.8,2.477973568,22.52202643,g4,9
29,1,h4,112.7,1.996450754,23.00354925,h4,9
31a,1,a5,121.6,1.850328947,23.14967105,a5,9
32,1,b5,124.1,1.813053989,23.18694601,b5,9
33,1,c5,113.8,1.9771529,23.0228471,c5,9
35,1,d5,116.3,1.934651763,23.06534824,d5,9
39,1,e5,186.7,1.205141939,23.79485806,e5,9
40,1,f5,317.3,0.7091081,24.2908919,f5,9
41,1,g5,96.2,2.338877339,22.66112266,g5,9
42,1,h5,107.8,2.087198516,22.91280148,h5,9
43,1,a6,92.6,2.429805616,22.57019438,a6,9
46,1,b6,140.2,1.604850214,23.39514979,b6,9
47,1,c6,99.6,2.259036145,22.74096386,c6,9
48,1,d6,56.3,3.996447602,21.0035524,d6,9
49,1,e6,97.6,2.305327869,22.69467213,e6,9
50,1,f6,104.5,2.153110048,22.84688995,f6,9
51,1,g6,66.8,3.368263473,21.63173653,g6,9
52,1,h6,95.4,2.358490566,22.64150943,h6,9
53,1,a7,79.9,2.816020025,22.18397997,a7,9
54,1,b7,56.1,4.010695187,20.98930481,b7,9
55,1,c7,141,1.595744681,23.40425532,c7,9
56,1,d7,57.7,3.899480069,21.10051993,d7,9
57,1,e7,76.6,2.937336815,22.06266319,e7,9
58,1,f7,53.9,4.174397032,20.82560297,f7,9
59,1,g7,59.3,3.794266442,21.20573356,g7,9
60,1,h7,70.2,3.205128205,21.79487179,h7,9
61,1,a8,326.9,0.688283879,24.31171612,a8,9
62,1,b8,54.6,4.120879121,20.87912088,b8,9
63,1,c8,145.3,1.548520303,23.4514797,c8,9
66,1,d8,113,1.991150442,23.00884956,d8,9
67,1,e8,90.7,2.480705623,22.51929438,e8,9
68,1,f8,111.9,2.010723861,22.98927614,f8,9
