sample_num,tube_before,tube_after,sample_mg,Calculated amount,top,bottom,% Swainsonine
1,1285.68,1324.16,38.48,NF,#VALUE!,7696,#VALUE!
2,1312.32,1357.3,44.98,NF,#VALUE!,8996,#VALUE!
3,1297.99,1337.58,39.59,0.031,0.04625946,7918,0.001
5,1249.83,1303.69,53.86,0.022,0.03264424,10772,0.000
6,1311.83,1353.58,41.75,NF,#VALUE!,8350,#VALUE!
7,1298.04,1348.91,50.87,NF,#VALUE!,10174,#VALUE!
8,1321.3,1346.39,25.09,1.554,2.33091772,5018,0.046
9,1303.99,1342.46,38.47,NF,#VALUE!,7694,#VALUE!
10,1250.05,1308.65,58.6,NF,#VALUE!,11720,#VALUE!
11,1297.68,1338.59,40.91,3.121,4.68115966,8182,0.057
13,1285.4,1328.16,42.76,NF,#VALUE!,8552,#VALUE!
14,1298.07,1325.39,27.32,NF,#VALUE!,5464,#VALUE!
16,1240.74,1289.21,48.47,NF,#VALUE!,9694,#VALUE!
17,1249.46,1291.65,42.19,NF,#VALUE!,8438,#VALUE!
19,1250.18,1286.99,36.81,3.123,4.68425172,7362,0.064
20,1233.63,1277.05,43.42,0.110,0.16448795,8684,0.002
21,1217.43,1272.53,55.1,NF,#VALUE!,11020,#VALUE!
22,1240.69,1292.91,52.22,NF,#VALUE!,10444,#VALUE!
23,1303.69,1344.12,40.43,NF,#VALUE!,8086,#VALUE!
24,1250.05,1303.98,53.93,NF,#VALUE!,10786,#VALUE!
25,1311.81,1366.03,54.22,4.297,6.44535512,10844,0.059
26,1250.01,1283.93,33.92,NF,#VALUE!,6784,#VALUE!
27,1285.6,1333.67,48.07,0.031,0.04677860,9614,0.000
28,1297.46,1346.61,49.15,3.346,5.01913573,9830,0.051
29,1249.58,1297.77,48.19,NF,#VALUE!,9638,#VALUE!
31,1285.09,1331.86,46.77,NF,#VALUE!,9354,#VALUE!
32,1250.15,1281.27,31.12,NF,#VALUE!,6224,#VALUE!
33,1285.92,1334.17,48.25,NF,#VALUE!,9650,#VALUE!
35,1321.02,1365.69,44.67,NF,#VALUE!,8934,#VALUE!
37,1234.33,1273.89,39.56,0.061,0.09109618,7912,0.001
39,1245.12,1292.77,47.65,NF,#VALUE!,9530,#VALUE!
40,1244.89,1287.76,42.87,0.052,0.07807553,8574,0.001
41,1304.48,1340.68,36.2,NF,#VALUE!,7240,#VALUE!
42,1307.39,1346.36,38.97,NF,#VALUE!,7794,#VALUE!
43,1302.6,1338.67,36.07,NF,#VALUE!,7214,#VALUE!
46,1249.25,1296.15,46.9,NF,#VALUE!,9380,#VALUE!
47,1293.79,1335.65,41.86,4.757,7.13483717,8372,0.085
48,1250.09,1276.85,26.76,2.716,4.07446168,5352,0.076
49,1233,1280.4,47.4,NF,#VALUE!,9480,#VALUE!
50,1320.98,1346.97,25.99,1.841,2.76163868,5198,0.053
51,1250.31,1301.56,51.25,NF,#VALUE!,10250,#VALUE!
52,1311.94,1357.85,45.91,NF,#VALUE!,9182,#VALUE!
53,1303.79,1331.07,27.28,NF,#VALUE!,5456,#VALUE!
54,1233.95,1261.9,27.95,NF,#VALUE!,5590,#VALUE!
55,1250.03,1265.5,15.47,2.890,4.33554443,3094,0.140
56,1307.77,1334.61,26.84,0.334,0.50150421,5368,0.009
57,1244.25,1294.23,49.98,NF,#VALUE!,9996,#VALUE!
58,1244.93,1269.13,24.2,NF,#VALUE!,4840,#VALUE!
59,1233.66,1260.33,26.67,NF,#VALUE!,5334,#VALUE!
60,1303.64,1331.93,28.29,NF,#VALUE!,5658,#VALUE!
61,1315.86,1363.97,48.11,NF,#VALUE!,9622,#VALUE!
62,1249.07,1285.62,36.55,NF,#VALUE!,7310,#VALUE!
63,1286.42,1321.77,35.35,NF,#VALUE!,7070,#VALUE!
66,1311.23,1354.9,43.67,5.505,8.25675557,8734,0.095
67,1297.53,1318.39,20.86,3.217,4.82566005,4172,0.116
68,1304.12,1350.4,46.28,0.166,0.24894827,9256,0.003
69,1312.28,1361.15,48.87,NF,#VALUE!,9774,#VALUE!
70,1241.87,1290.71,48.84,3.485,5.22715517,9768,0.054
71,1303.44,1357.4,53.96,NF,#VALUE!,10792,#VALUE!
72,1245.21,1276.73,31.52,NF,#VALUE!,6304,#VALUE!
73,1249.56,1288.23,38.67,NF,#VALUE!,7734,#VALUE!
74,1244.58,1284.62,40.04,NF,#VALUE!,8008,#VALUE!
76,1306.06,1323.11,17.05,NF,#VALUE!,3410,#VALUE!
77,1244.91,1284.27,39.36,NF,#VALUE!,7872,#VALUE!
78,1233.39,1253.4,20.01,NF,#VALUE!,4002,#VALUE!
80,1305.47,1330.25,24.78,NF,#VALUE!,4956,#VALUE!
86,1311.9,1353.86,41.96,6.125,9.18731010,8392,0.109
88,1304.38,1326.74,22.36,NF,#VALUE!,4472,#VALUE!
89,1305.9,1332.35,26.45,NF,#VALUE!,5290,#VALUE!
90,1249.62,1277.94,28.32,NF,#VALUE!,5664,#VALUE!
91,1249.71,1267.8,18.09,NF,#VALUE!,3618,#VALUE!
92,1240.82,1296.68,55.86,NF,#VALUE!,11172,#VALUE!
96,1321.25,1356.49,35.24,NF,#VALUE!,7048,#VALUE!
97,1285.26,1326.82,41.56,NF,#VALUE!,8312,#VALUE!
98,1234.05,1276.15,42.1,NF,#VALUE!,8420,#VALUE!
99,1296.79,1342.7,45.91,2.920,4.38045961,9182,0.048
100,1286.01,1313.55,27.54,NF,#VALUE!,5508,#VALUE!
102,1244.29,1273.28,28.99,NF,#VALUE!,5798,#VALUE!
103,1250.14,1255.24,5.1,NF,#VALUE!,1020,#VALUE!
104,1244.31,1282.76,38.45,NF,#VALUE!,7690,#VALUE!
106,1308.05,1331.49,23.44,NF,#VALUE!,4688,#VALUE!
108,1240.25,1287.1,46.85,3.932,5.89781815,9370,0.063
109,1321.35,1336.59,15.24,NF,#VALUE!,3048,#VALUE!
110,1312.24,1329.78,17.54,NF,#VALUE!,3508,#VALUE!
111,1312.07,1342.02,29.95,NF,#VALUE!,5990,#VALUE!
112,1312.08,1346.38,34.3,NF,#VALUE!,6860,#VALUE!
113,1249.6,1287.4,37.8,NF,#VALUE!,7560,#VALUE!
114,1240.99,1258.77,17.78,0.053,0.07877069,3556,0.002
117,1307.44,1338.31,30.87,NF,#VALUE!,6174,#VALUE!
118,1285.11,1294.8,9.69,0.696,1.04350725,1938,0.054
121,1312.23,1322.77,10.54,0.804,1.20633165,2108,0.057
122,1244.84,1262.87,18.03,1.473,2.21001699,3606,0.061
123,1307.56,1336.55,28.99,NF,#VALUE!,5798,#VALUE!
124,1240.69,1266.83,26.14,NF,#VALUE!,5228,#VALUE!
127,1233.45,1266.47,33.02,NF,#VALUE!,6604,#VALUE!
129,1286.45,1310.72,24.27,2.208,3.31271860,4854,0.068
131,1249.71,1257.97,8.26,NF,#VALUE!,1652,#VALUE!
133,1244.57,1271.8,27.23,NF,#VALUE!,5446,#VALUE!
134,1307.91,1337.03,29.12,NF,#VALUE!,5824,#VALUE!
136,1233.82,1282.5,48.68,7.598,11.39640851,9736,0.117
139,1232.71,1283.13,50.42,2.058,3.08642865,10084,0.031
140,1241.04,1289.77,48.73,NF,#VALUE!,9746,#VALUE!
144,1286.37,1304.19,17.82,1.396,2.09330404,3564,0.059
146,1285.95,1329.55,43.6,NF,#VALUE!,8720,#VALUE!
147,1241.35,1267.84,26.49,NF,#VALUE!,5298,#VALUE!
148,1312.25,1350.7,38.45,NF,#VALUE!,7690,#VALUE!
152,1307.49,1348.95,41.46,NF,#VALUE!,8292,#VALUE!
153,1240.7,1281.95,41.25,NF,#VALUE!,8250,#VALUE!
155,1320.93,1357.72,36.79,NF,#VALUE!,7358,#VALUE!
156,1298.5,1333.58,35.08,NF,#VALUE!,7016,#VALUE!
157,1320.89,1365.09,44.2,NF,#VALUE!,8840,#VALUE!
160,1286.52,1325.47,38.95,3.218,4.82726070,7790,0.062
161,1250.59,1282.49,31.9,NF,#VALUE!,6380,#VALUE!
162,1285.6,1329.7,44.1,3.291,4.93631634,8820,0.056
163,1305.69,1349.35,43.66,2.236,3.35472435,8732,0.038
164,1244.59,1282.73,38.14,NF,#VALUE!,7628,#VALUE!
167,1320.03,1341.39,21.36,1.163,1.74460838,4272,0.041
168,1285.69,1322.65,36.96,NF,#VALUE!,7392,#VALUE!
170,1305.62,1339.95,34.33,NF,#VALUE!,6866,#VALUE!
171,1249.41,1291.9,42.49,NF,#VALUE!,8498,#VALUE!
172,1240.69,1288.98,48.29,NF,#VALUE!,9658,#VALUE!
173,1240.02,1291.99,51.97,NF,#VALUE!,10394,#VALUE!
175,1285.85,1299.86,14.01,NF,#VALUE!,2802,#VALUE!
176,1311.4,1352.98,41.58,NF,#VALUE!,8316,#VALUE!
177,1285.42,1325.59,40.17,NF,#VALUE!,8034,#VALUE!
178,1311.83,1334.18,22.35,2.568,3.85164540,4470,0.086
183,1306.88,1335.46,28.58,NF,#VALUE!,5716,#VALUE!
184,1241.14,1251.48,10.34,NF,#VALUE!,2068,#VALUE!
185,1286.19,1335.49,49.3,NF,#VALUE!,9860,#VALUE!
186,1234.62,1268.59,33.97,NF,#VALUE!,6794,#VALUE!
189,1250.1,1296.46,46.36,NF,#VALUE!,9272,#VALUE!
191,1285.9,1337.57,51.67,NF,#VALUE!,10334,#VALUE!
192,1304.96,1350.28,45.32,NF,#VALUE!,9064,#VALUE!
194,1304.25,1351.09,46.84,NF,#VALUE!,9368,#VALUE!
197,1234.07,1264.31,30.24,NF,#VALUE!,6048,#VALUE!
199,1304.17,1332.34,28.17,NF,#VALUE!,5634,#VALUE!
201,1256.86,1310.78,53.92,NF,#VALUE!,10784,#VALUE!
203,1245.09,1273.65,28.56,NF,#VALUE!,5712,#VALUE!
204,1305.46,1349.14,43.68,NF,#VALUE!,8736,#VALUE!
206,1303.46,1310.03,6.57,NF,#VALUE!,1314,#VALUE!
209,1311.65,1324.84,13.19,NF,#VALUE!,2638,#VALUE!
212,1285.14,1301.63,16.49,NF,#VALUE!,3298,#VALUE!
213,1320.5,1359.01,38.51,NF,#VALUE!,7702,#VALUE!
