"","X1","X2","diffs...1."
"1",1,1,"treatment_1_vs_treatment_1"
"2",631,15,"treatment_1_vs_treatment_2"
"3",643,3,"treatment_1_vs_treatment_3"
"4",130,516,"treatment_1_vs_treatment_4"
"5",643,3,"treatment_1_vs_treatment_5"
"6",643,3,"treatment_1_vs_treatment_6"
"7",643,3,"treatment_1_vs_treatment_7"
"8",643,3,"treatment_1_vs_treatment_8"
"9",631,15,"treatment_2_vs_treatment_1"
"10",1,1,"treatment_2_vs_treatment_2"
"11",642,4,"treatment_2_vs_treatment_3"
"12",641,5,"treatment_2_vs_treatment_4"
"13",13,633,"treatment_2_vs_treatment_5"
"14",3,643,"treatment_2_vs_treatment_6"
"15",641,5,"treatment_2_vs_treatment_7"
"16",6,640,"treatment_2_vs_treatment_8"
"17",643,3,"treatment_3_vs_treatment_1"
"18",642,4,"treatment_3_vs_treatment_2"
"19",1,1,"treatment_3_vs_treatment_3"
"20",635,11,"treatment_3_vs_treatment_4"
"21",642,4,"treatment_3_vs_treatment_5"
"22",642,4,"treatment_3_vs_treatment_6"
"23",644,2,"treatment_3_vs_treatment_7"
"24",642,4,"treatment_3_vs_treatment_8"
"25",130,516,"treatment_4_vs_treatment_1"
"26",641,5,"treatment_4_vs_treatment_2"
"27",635,11,"treatment_4_vs_treatment_3"
"28",1,1,"treatment_4_vs_treatment_4"
"29",2,644,"treatment_4_vs_treatment_5"
"30",1,1,"treatment_4_vs_treatment_6"
"31",631,15,"treatment_4_vs_treatment_7"
"32",2,644,"treatment_4_vs_treatment_8"
"33",643,3,"treatment_5_vs_treatment_1"
"34",13,633,"treatment_5_vs_treatment_2"
"35",642,4,"treatment_5_vs_treatment_3"
"36",2,644,"treatment_5_vs_treatment_4"
"37",1,1,"treatment_5_vs_treatment_5"
"38",626,20,"treatment_5_vs_treatment_6"
"39",640,6,"treatment_5_vs_treatment_7"
"40",643,3,"treatment_5_vs_treatment_8"
"41",643,3,"treatment_6_vs_treatment_1"
"42",3,643,"treatment_6_vs_treatment_2"
"43",642,4,"treatment_6_vs_treatment_3"
"44",1,1,"treatment_6_vs_treatment_4"
"45",626,20,"treatment_6_vs_treatment_5"
"46",1,1,"treatment_6_vs_treatment_6"
"47",4,642,"treatment_6_vs_treatment_7"
"48",643,3,"treatment_6_vs_treatment_8"
"49",643,3,"treatment_7_vs_treatment_1"
"50",641,5,"treatment_7_vs_treatment_2"
"51",644,2,"treatment_7_vs_treatment_3"
"52",631,15,"treatment_7_vs_treatment_4"
"53",640,6,"treatment_7_vs_treatment_5"
"54",4,642,"treatment_7_vs_treatment_6"
"55",1,1,"treatment_7_vs_treatment_7"
"56",630,16,"treatment_7_vs_treatment_8"
"57",643,3,"treatment_8_vs_treatment_1"
"58",6,640,"treatment_8_vs_treatment_2"
"59",642,4,"treatment_8_vs_treatment_3"
"60",2,644,"treatment_8_vs_treatment_4"
"61",643,3,"treatment_8_vs_treatment_5"
"62",643,3,"treatment_8_vs_treatment_6"
"63",630,16,"treatment_8_vs_treatment_7"
"64",1,1,"treatment_8_vs_treatment_8"
