rns,treament,status,DateFlowering,DateFruiting,width,height,length,vol,#Fl_Stems_atCollectionTime,#Fl_stemsEndOfYear,#LeavesCollection,#LeavesEndofYear,lvs_with_herbivory,lvs_with_fungus,blackdotFungusPresence
1,treated_plus,good,,,19,12,14,,,,15,,0,,
2,treated_plus,good,,,8,7,7,,,,3,,,,
3,untreated_neg,good,,,13,7,7,,,,6,,,,
4,untreated_neg,good,,,50,16,36,,5,,128,,4,20,
5,untreated_plus,good,,,15,10,13,,,,8,,2,1,
6,untreated_plus,good,,,17,10,17,,,,16,,2,4,
7,treated_neg,good,,,15,11,14,,,,7,,1,3,
8,untreated_plus,good,,,10,7,9,,,,3,,0,0,
9,treated_plus,good,,,16,11,16,,,,18,,2,9,
10,treated_neg,good,,,39,15,32,,,,63,,,11,
11,controlplus,good,,,9,8,7,,,,2,,,,
12,treated_neg,good,,,26,10,19,,,,34,,,11,
13,treated_neg,good,,,24,11,17,,,,32,,,8,
14,untreated_neg,good,,,45,19,42,,,,64,,,10,
15,controlNeg,good,,,28,17,22,,,,38,,3,10,
16,treated_controlplus,good,,,25,17,24,,,,46,,2,11,
17,controlNeg,good,,,24,13,22,,,,21,,,7,
18,controlNeg,good,,,24,13,21,,,,34,,1,15,
19,controlplus,good,,,17,10,15,,,,9,,,,
20,treated_controlneg,good,,,37,17,30,,,,52,,2,16,
21,untreated_neg,good,,,17,15,17,,,,28,,,11,yes
22,untreated_plus,good,,,13,11,12,,,,6,,,2,
23,untreated_plus,good,,,31,15,27,,,,41,,2,12,
24,treated_neg,good,,,24,12,19,,,,24,,,14,yes
25,untreated_plus,good,,,15,10,13,,,,5,,,3,
26,untreated_plus,good,,,25,10,24,,,,24,,1,,
27,treated_neg,good,,,14,12,12,,,,7,,2,,
28,treated_plus,good,,,11,10,11,,,,5,,,,
29,treated_plus,good,,,16,10,13,,,,10,,,2,
30,untreated_neg,dontuse,,,9,8,8,,,,4,,,,
31,treated_plus,good,,,32,19,32,,,,45,,6,4,
32,untreated_plus,good,,,10,10,8,,,,3,,,,
33,treated_neg,good,,,21,12,16,,,,20,,,6,
34,treated_controlplus,dontuse,,,9,6,8,,,,3,,,,
35,treated_plus,good,,,20,11,18,,,,28,,2,7,
36,treated_plus,weak,,,11,10,9,,,,4,,,,
37,untreated_neg,good,,,51,22,46,,,,95,,4,8,
38,untreated_plus,weak,,,9,7,9,,,,3,,,1,
39,controlNeg,good,,,21,12,16,,,,19,,2,4,
40,treated_plus,good,,,74,29,57,,,,123,,1,8,
41,treated_neg,good,,,26,15,23,,,,38,,,18,
42,controlplus,good,,,32,16,30,,,,43,,,18,
43,untreated_neg,good,,,18,12,14,,,,11,,,2,
44,treated_plus,good,,,38,17,23,,,,24,,,4,
45,untreated_plus,good,,,24,13,24,,,,19,,,9,
46,treated_neg,good,,,21,12,28,,,,14,,,4,
47,treated_plus,good,,,22,18,20,,,,24,,,10,
48,treated_controlplus,good,,,13,13,12,,,,7,,,1,
49,treated_neg,good,,,29,12,28,,,,28,,2,6,
50,untreated_plus,good,,,11,10,11,,,,5,,,,
51,untreated_neg,good,,,19,13,18,,,,27,,1,6,
52,untreated_neg,good,,,32,15,26,,,,62,,1,10,yes
53,untreated_neg,good,,,19,13,18,,,,23,,,7,
54,treated_controlneg,good,,,25,12,18,,,,30,,,10,yes
55,controlplus,good,,,11,9,9,,,,6,,1,,
56,controlplus,good,,,15,9,10,,,,13,,,,
57,untreated_plus,good,,,25,14,14,,,,29,,1,4,yes
58,treated_neg,good,,,18,13,13,,,,15,,,9,
59,treated_neg,good,,,16,20,14,,,,21,,1,10,
60,controlNeg,good,,,19,14,18,,,,17,,2,,
61,treated_neg,good,,,32,15,26,,2,,37,,3,10,
62,untreated_plus,good,,,27,15,20,,,,25,,2,,
63,treated_neg,good,,,35,19,18,,,,38,,3,,
64,untreated_plus,weak,,,12,11,10,,,,5,,2,,
