Plant,m1,m2,m3,a1,a2,a3,m4,a4,
29,2.04,3.10,3.33,0.327,0.370,0.412,,,Distance in pixels: 321
30,2.93,4.16,2.62,0.316,0.550,0.274,,,
31,3.21,2.45,2.81,0.347,0.315,0.352,,,
32,2.01,2.87,2.32,0.258,0.210,0.183,,,
33,2.82,1.62,1.74,0.262,0.137,0.178,,,
34,1.69,2.94,2.75,0.206,0.283,0.216,,,
35,1.90,3.17,2.73,0.242,0.288,0.259,,,
36,3.34,3.27,3.00,0.332,0.307,0.261,,,
37,5.14,4.69,4.17,0.431,0.447,0.414,,,
38,2.49,1.48,1.57,0.254,0.153,0.230,,,
11,3.02,1.94,2.91,0.306,0.234,0.304,,,
10,3.42,6.38,6.91,0.384,0.653,0.633,,,
9,2.37,3.40,4.20,0.274,0.353,0.471,,,
8,1.98,2.58,2.38,0.215,0.248,0.201,,,
7,2.30,3.43,3.16,0.238,0.324,0.423,,,
6,2.96,5.47,,0.247,0.504,,,,
151,4.36,4.49,3.41,0.250,0.286,0.282,,,
150,2.86,1.91,2.30,0.272,0.169,0.260,,,
148,1.90,2.40,1.66,0.190,0.169,0.174,,,
147,1.51,1.73,2.36,0.174,0.184,0.195,,,
146,1.95,1.81,2.97,0.207,0.239,0.264,,,
145,3.62,2.04,3.48,0.290,0.234,0.248,,,
144,1.68,1.65,2.61,0.165,0.192,0.272,,,
142,1.09,1.82,2.77,0.126,0.161,0.286,,,
140,5.83,12.23,7.26,0.467,0.785,0.676,,,
139,5.40,11.23,4.56,0.544,0.960,0.461,,,
136,3.50,3.33,1.94,0.300,0.323,0.181,,,
134,1.69,1.91,1.93,0.135,0.118,0.125,,,
68,2.28,4.39,1.36,0.372,0.679,0.280,,,
69,5.07,1.41,0.98,0.664,0.169,0.147,,,
70,1.93,2.94,4.58,0.363,0.405,0.542,,,
67,4.37,3.18,2.79,0.624,0.394,0.361,,,
5,4.25,3.71,3.57,0.374,0.349,0.446,,,
4,2.60,4.32,4.12,0.377,0.355,0.453,,,
282,1.71,1.25,1.18,0.196,0.184,0.123,,,
288,5.16,3.14,4.55,0.464,0.345,0.383,,,
287,1.90,3.50,2.42,0.267,0.465,0.276,,,
294,1.87,2.17,1.93,0.232,0.219,0.293,,,
2,3.22,3.60,3.57,0.380,0.411,0.374,,,
12,3.21,2.71,2.22,0.477,0.351,0.262,,,
13,1.76,2.22,2.37,0.218,0.271,0.228,,,
14,5.04,2.70,4.02,0.418,0.360,0.604,,,
15,4.49,3.12,3.32,0.503,0.386,0.348,,,
16,2.66,2.27,3.02,0.377,0.324,0.430,,,
17,2.31,2.46,1.69,0.372,0.336,0.245,,,
18,2.70,2.60,2.49,0.366,0.272,0.265,,,
19,4.31,2.63,4.93,0.539,0.282,0.569,,,
20,3.62,2.71,5.91,0.457,0.336,0.769,,,
21,2.16,1.90,1.98,0.221,0.270,0.293,,,
22,1.67,1.88,2.51,0.298,0.338,0.398,,,
23,2.21,2.08,3.38,0.289,0.343,0.378,,,
24,1.94,2.87,3.10,0.310,0.322,0.446,,,
25,4.09,2.94,3.65,0.566,0.317,0.506,,,
26,1.94,2.09,2.16,0.348,0.266,0.388,,,
27,3.38,3.19,4.73,0.329,0.399,0.578,,,
28,2.18,1.53,2.82,0.298,0.233,0.396,,,
39,3.91,5.85,1.69,0.440,0.604,0.192,,,
40,6.48,6.28,2.67,0.800,0.880,0.454,,,
41,2.92,2.08,2.20,0.315,0.268,0.259,,,
42,2.19,1.79,2.36,0.378,0.356,0.312,,,
43,3.91,4.02,2.40,0.360,0.435,0.262,,,
44,1.48,5.01,1.12,0.312,0.609,0.288,,,
45,2.99,1.92,3.19,0.314,0.340,0.429,,,
46,3.80,,,0.367,,,,,
47,5.53,5.29,3.14,0.592,0.640,0.382,,,
48,3.05,3.20,3.89,0.387,0.295,0.410,,,
49,2.54,2.90,2.82,0.400,0.413,0.408,,,
50,3.02,3.45,3.80,0.386,0.328,0.412,,,
51,1.77,2.02,2.31,0.304,0.346,0.382,,,
52,2.12,2.88,2.26,0.357,0.388,0.415,,,
53,1.78,1.45,2.01,0.274,0.185,0.231,,,
54,1.38,2.84,1.51,0.238,0.360,0.191,,,
55,2.78,3.03,3.20,0.316,0.374,0.309,,,
56,2.28,2.96,2.73,0.308,0.363,0.380,,,
57,2.78,2.39,2.65,0.356,0.407,0.371,,,
58,2.56,0.50,,0.313,0.132,,,,
59,1.02,1.18,1.88,0.186,0.276,0.240,,,
60,1.70,1.62,1.80,0.218,0.314,0.342,,,
61,0.96,0.84,2.11,0.195,0.162,0.308,,,
62,3.23,2.78,1.60,0.510,0.446,0.243,,,
63,5.21,3.41,4.15,0.517,0.356,0.418,,,
64,3.46,2.68,3.52,0.580,0.460,0.439,,,
65,4.23,2.93,3.44,0.347,0.289,0.364,,,
66,4.83,3.41,5.77,0.527,0.375,0.496,,,
133,2.64,1.69,2.28,0.281,0.218,0.245,,,
132,1.40,0.70,0.88,0.142,0.061,0.080,,,
131,2.34,1.77,1.02,0.299,0.275,0.181,,,
129,4.62,3.42,4.58,0.376,0.452,0.408,,,
128,3.37,5.35,3.97,0.242,0.418,0.295,,,
127,4.52,10.75,2.72,0.615,0.934,0.426,,,
3,4.39,3.74,3.81,0.429,0.487,0.477,,,
276,4.99,3.44,,0.462,0.424,,,,
273,4.15,3.14,4.98,0.443,0.384,0.483,,,
272,2.09,1.64,1.72,0.254,0.251,0.292,,,
271,1.29,2.22,2.34,0.180,0.257,0.101,,,
270,5.31,5.51,3.51,0.915,0.944,0.606,,,
169,5.72,4.95,4.59,0.592,0.537,0.453,,,
260,2.47,3.80,4.37,0.321,0.385,0.468,,,
259,4.11,5.22,8.77,0.440,0.526,0.559,,,
258,2.08,2.22,1.08,0.213,0.234,0.115,2.180,0.240,
257,3.12,2.23,2.32,0.424,0.249,0.353,,,
255,4.77,4.19,5.15,0.461,0.366,0.465,,,
253,2.29,1.20,1.15,0.147,0.179,0.165,,,
251,1.61,1.73,2.29,0.177,0.175,0.279,,,
248,2.73,3.47,2.56,0.271,0.336,0.346,,,
247,1.81,3.07,3.89,0.211,0.405,0.339,,,
246,5.11,1.40,1.22,0.580,0.252,0.229,,,
244,2.43,3.96,2.91,0.164,0.441,0.265,4.640,0.410,
240,1.73,1.94,2.34,0.206,0.266,0.311,,,
239,5.12,3.92,4.22,0.717,0.396,0.560,,,
235,3.58,3.50,3.75,0.381,0.502,0.404,,,
232,3.80,5.26,3.25,0.412,0.537,0.374,,,
157,2.57,2.20,3.00,0.450,0.378,0.498,,,
156,5.25,5.14,2.49,0.645,0.566,0.335,,,
155,4.75,4.55,2.26,0.471,0.549,0.253,,,
134,1.67,2.56,1.78,0.181,0.246,0.189,,,
153,7.30,4.68,5.41,0.747,0.492,0.667,,,
152,2.75,2.00,3.09,0.269,0.292,0.279,,,
115,3.79,4.14,2.58,0.489,0.464,0.336,,,
114,3.08,2.27,2.14,0.243,0.231,0.244,,,
113,2.26,2.04,4.56,0.218,0.209,0.393,,,
112,3.11,1.92,2.22,0.356,0.167,0.196,,,
111,1.64,3.52,3.45,0.145,0.303,0.233,1.090,0.107,
110,3.03,3.05,2.61,0.344,0.284,0.286,,,
116,1.65,3.75,2.63,0.158,0.337,0.200,,,
126,6.48,3.15,4.38,0.544,0.345,0.419,,,
124,2.93,2.15,2.64,0.230,0.196,0.242,,,
123,2.37,5.38,2.23,0.248,0.522,0.349,,,
122,3.51,2.11,3.53,0.361,0.282,0.342,,,
121,4.20,2.93,3.66,0.317,0.263,0.300,,,
119,1.57,2.23,3.33,0.198,0.210,0.303,,,
118,5.61,2.94,4.63,0.421,0.247,0.354,,,
117,2.23,3.99,2.66,0.210,0.357,0.251,,,
108,2.97,1.83,4.44,0.333,0.281,0.621,,,
106,3.72,0.98,2.58,0.567,0.140,0.370,,,
104,2.53,2.07,2.68,0.294,0.218,0.291,,,
103,1.41,1.06,1.29,0.171,0.134,0.138,,,
102,4.35,2.93,3.32,0.498,0.290,0.381,,,
100,2.21,2.47,1.97,0.217,0.351,0.278,,,
99,2.53,2.73,2.22,0.364,0.310,0.341,,,
191,2.61,2.10,3.36,0.321,0.213,0.379,,,
189,2.50,2.56,2.08,0.266,0.331,0.233,,,
186,3.47,4.63,4.47,0.469,0.509,0.552,,,
185,4.83,6.84,3.20,0.746,0.865,0.542,,,
184,1.72,1.43,2.28,0.354,0.211,0.255,,,
183,1.31,2.16,1.33,0.248,0.391,0.161,,,
182,2.31,2.51,2.10,0.324,0.382,0.330,,,
181,2.26,2.73,5.82,0.208,0.299,0.156,0.280,0.058,
178,1.41,2.76,3.03,0.185,0.323,0.331,,,
177,3.83,4.31,4.03,0.395,0.536,0.439,,,
176,4.26,2.18,4.27,0.418,0.262,0.324,,,
175,1.84,1.95,2.09,0.169,0.201,0.254,,,
174,2.04,2.96,3.47,0.270,0.320,0.392,,,
173,3.35,2.67,2.24,0.352,0.360,0.248,,,
172,4.24,1.93,2.55,0.517,0.274,0.406,,,
171,3.12,2.65,4.25,0.347,0.273,0.419,,,
170,1.72,1.19,1.55,0.226,0.168,0.173,,,
169,4.06,3.38,3.45,0.435,0.279,0.439,,,
168,1.52,2.58,2.46,0.167,0.264,0.241,,,
167,2.23,3.50,2.77,0.220,0.442,0.351,,,
166,1.94,2.06,1.96,0.187,0.210,0.286,,,
165,3.58,5.25,5.02,0.338,0.507,0.508,,,
164,2.41,5.18,4.09,0.289,0.608,0.437,,,
163,5.20,3.84,6.44,0.841,0.588,1.011,,,
162,1.44,4.04,4.28,0.162,0.367,0.410,,,
161,2.47,1.45,1.34,0.228,0.200,0.161,,,
160,1.89,2.19,1.48,0.318,0.300,0.182,,,
159,2.69,2.75,3.91,0.357,0.371,0.480,,,
231,1.45,2.39,2.50,0.204,0.298,0.231,,,
227,1.65,1.43,1.95,0.204,0.151,0.227,,,
224,3.57,2.17,2.18,0.447,0.216,0.253,0.770,0.086,
222,2.89,2.28,1.18,0.398,0.171,0.118,,,
220,2.99,1.32,2.27,0.292,0.224,0.255,,,
219,3.49,3.75,4.50,0.465,0.473,0.609,,,
218,4.72,5.92,3.47,0.470,0.578,0.394,,,
216,2.59,6.11,4.44,0.289,0.683,0.595,,,
215,3.85,3.77,2.21,0.455,0.455,0.240,,,
213,1.09,3.00,1.20,0.285,0.395,0.242,,,
212,4.96,2.48,2.38,0.645,0.279,0.273,,,
211,3.67,2.66,3.83,0.342,0.450,0.522,,,
209,1.70,2.30,2.14,0.241,0.200,0.234,,,
207,3.96,3.89,6.18,0.436,0.377,0.732,,,
206,3.31,3.67,1.84,0.453,0.469,0.233,,,
205,1.71,1.99,2.85,0.234,0.244,0.301,,,
204,2.15,1.89,2.10,0.196,0.249,0.225,,,
203,3.15,2.44,3.15,0.292,0.247,0.350,,,
202,3.50,3.38,4.13,0.393,0.364,0.572,,,
201,3.31,2.90,3.08,0.427,0.319,0.454,,,
200,2.71,2.02,2.31,0.203,0.278,0.254,,,
199,2.79,2.75,1.68,0.315,0.456,0.274,,,
198,2.29,1.34,1.57,0.170,0.141,0.193,,,
197,2.20,3.59,3.60,0.166,0.366,0.343,,,
196,6.20,7.72,3.61,0.810,0.754,0.460,,,
195,1.91,2.09,2.28,0.154,0.209,0.237,,,
194,1.89,2.34,2.18,0.254,0.261,0.265,,,
192,2.86,1.96,3.30,0.344,0.275,0.392,,,
98,3.87,3.01,2.28,0.524,0.502,0.356,,,
97,3.12,3.98,4.05,0.297,0.459,0.515,,,
96,4.89,5.91,2.51,0.415,0.412,0.217,,,
95,4.94,4.46,4.07,0.513,0.448,0.548,,,
92,2.40,3.61,7.87,0.270,0.540,0.656,,,
91,2.77,1.59,1.93,0.360,0.197,0.232,,,
90,1.66,4.59,0.84,0.192,0.564,0.104,1.900,0.196,
89,2.35,6.11,7.19,0.201,0.489,0.548,,,
88,4.03,3.28,2.20,0.432,0.332,0.270,,,
87,3.22,2.58,2.47,0.399,0.347,0.334,,,
86,1.82,2.96,2.02,0.200,0.330,0.189,,,
83,4.18,2.21,3.87,0.333,0.240,0.392,,,
80,1.91,2.55,1.63,0.231,0.297,0.201,,,
79,3.15,3.31,4.33,0.379,0.578,0.609,,,
78,5.12,4.98,2.22,0.545,0.567,0.220,,,
77,1.97,1.86,1.33,0.212,0.231,0.208,,,
76,1.67,1.52,3.06,0.267,0.188,0.282,,,
75,2.85,2.27,2.17,0.341,0.260,0.301,,,
74,2.15,3.90,1.88,0.328,0.589,0.286,,,
73,4.06,3.06,2.80,0.333,0.292,0.255,,,
72,3.10,4.18,1.86,0.355,0.469,0.229,,,
71,3.00,2.89,1.70,0.320,0.301,0.226,,,
