"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","treatment_failed"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,20,19,"",3.738,1.53,3.09,-30.14,42.47,0.826645264847512,11.3616907437132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treated_plus","good",NA,NA,19,12,14,NA,NA,NA,15,NA,0,NA,"",NA,NA,NA,NA,NA,NA,48.5215053763441,1285.68,1324.16,38.48,"NF","#VALUE!",7696,0,"no"
2,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,9,8,"",3.568,2.17,2.86,-29.83,43.88,0.801569506726457,12.2982062780269,3.22,3.6,3.57,0.38,0.411,0.374,NA,NA,"","treated_plus","good",NA,NA,8,7,7,NA,NA,NA,3,NA,NA,NA,"",0.54125,0.118012422360248,0.114166666666667,0.104761904761905,NA,0.112313664596273,39.9193548387097,1312.32,1357.3,44.98,"NF","#VALUE!",8996,0,"no"
3,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",7,11,9,"",NA,2.285,NA,-30.065,NA,0.679600474586036,12.0494882138732,4.39,3.74,3.81,0.429,0.487,0.477,NA,NA,"","untreated_neg","good",NA,NA,13,7,7,NA,NA,NA,6,NA,NA,NA,"",0.59825,0.0977220956719818,0.130213903743315,0.125196850393701,NA,0.117710949936333,38.3736559139785,1297.99,1337.58,39.59,"0.031","0.04625946",7918,0.001,"no"
4,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",26,54,51,"y",NA,NA,NA,NA,NA,NA,NA,2.6,4.32,4.12,0.377,0.355,0.453,NA,NA,"","untreated_neg","good",NA,NA,50,16,36,NA,5,NA,128,NA,4,20,"",0.54625,0.145,0.0821759259259259,0.10995145631068,NA,0.112375794078869,NA,NA,NA,NA,NA,NA,NA,NA,"no"
5,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,18,11,"",3.877,1.81,2.46,-29.94,43.09,0.634511220015476,11.1142636058808,4.25,3.71,3.57,0.374,0.349,0.446,NA,NA,"","untreated_plus","good",NA,NA,15,10,13,NA,NA,NA,8,NA,2,1,"",0.54225,0.088,0.0940700808625337,0.124929971988796,NA,0.102333350950443,44.758064516129,1249.83,1303.69,53.86,"0.022","0.03264424",10772,0,"no"
6,15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,24,20,"",3.925,1.38,1.91,-30.81,40.3,0.486624203821656,10.2675159235669,2.96,5.47,NA,0.247,0.504,NA,NA,NA,"","untreated_plus","good",NA,NA,17,10,17,NA,NA,NA,16,NA,2,4,"",NA,0.0834459459459459,0.0921389396709324,NA,NA,0.0877924428084391,50.5376344086022,1311.83,1353.58,41.75,"NF","#VALUE!",8350,0,"no"
7,15,15,0,NA,0,NA,0,0,"","9/16/17","10/28/17",8,18,15,"",3.941,1.66,2.99,-29.51,43.53,0.75869068764273,11.0454199441766,2.3,3.43,3.16,0.238,0.324,0.423,NA,NA,"","treated_neg","good",NA,NA,15,11,14,NA,NA,NA,7,NA,1,3,"",0.49625,0.103478260869565,0.0944606413994169,0.133860759493671,NA,0.110599887254218,46.7741935483871,1298.04,1348.91,50.87,"NF","#VALUE!",10174,0,"no"
8,11,8,0.272727273,NA,3,NA,0,NA,"white fuzzy","9/16/17","10/28/17",8,10,8,"",3.982,2.27,3.58,-29.94,44.92,0.89904570567554,11.2807634354596,1.98,2.58,2.38,0.215,0.248,0.201,NA,NA,"","untreated_plus","good",NA,NA,10,7,9,NA,NA,NA,3,NA,0,0,"",0.416,0.108585858585859,0.0961240310077519,0.084453781512605,NA,0.0963878903687385,38.5752688172043,1321.3,1346.39,25.09,"1.554","2.33091772",5018,0.046,"no"
9,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,20,17,"",3.66,0.54,2.3,-30.53,32.82,0.628415300546448,8.9672131147541,2.37,3.4,4.2,0.274,0.353,0.471,NA,NA,"","treated_plus","good",NA,NA,16,11,16,NA,NA,NA,18,NA,2,9,"",0.5245,0.115611814345992,0.103823529411765,0.112142857142857,NA,0.110526066966871,61.8279569892473,1303.99,1342.46,38.47,"NF","#VALUE!",7694,0,"no"
10,15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",13,43,41,"y",3.591,3.67,3.79,-30.19,42.94,1.05541631857421,11.957671957672,3.42,6.38,6.91,0.384,0.653,0.633,NA,NA,"","treated_neg","good",NA,NA,39,15,32,NA,NA,NA,63,NA,NA,11,"",0.6675,0.112280701754386,0.102351097178683,0.0916063675832127,NA,0.102079388838761,19.758064516129,1250.05,1308.65,58.6,"NF","#VALUE!",11720,0,"no"
